Main Category,Category,Subcategory,Search Keyword,Product Name,Company Name,Price,MOQ,Location,Rating,Reviews,Image URL,Product URL,Product Description,Product ID,Local Image Path
Construction,Building Materials,River Sand,river sand,NELLORE Pure Rough River Sand,Kumaravel Traders,"₹ 7,500",,Chennai,,,https://5.imimg.com/data5/IOS/Default/2022/1/PZ/JJ/VX/73706863/product-jpeg-250x250.png,https://www.indiamart.com/proddetail/pure-rough-river-sand-24690128462.html,NELLORE Pure Rough River Sand,5e5d088d-8eed-47e4-9964-ec70b3b12269,products\5e5d088d-8eed-47e4-9964-ec70b3b12269\1.png
Construction,Building Materials,River Sand,river sand,Brown River Sand,Rashi Enterprise,₹ 650,,Ahmedabad,,,https://5.imimg.com/data5/SELLER/Default/2024/8/444909734/OL/DQ/RN/38077502/img-20210831-wa0004-jpg-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2854711363288.html,GST Email Mobile Member: 9 yrs,cb60cde3-98b5-4851-95a8-902d83b9df0d,products\cb60cde3-98b5-4851-95a8-902d83b9df0d\1.jpg
Construction,Building Materials,River Sand,river sand,River Sand Pindwara Reti,Swaminarayan Building Material Suppliers,₹ 850,Swaminarayan Building Material Suppliers,Udaipur,,,https://5.imimg.com/data5/SELLER/Default/2022/9/LF/TE/VO/157714594/sand-3--250x250.jpeg,https://www.indiamart.com/proddetail/pindwara-reti-2850473677497.html,River Sand Pindwara Reti,08360a32-3bf4-4aa7-8b8f-977e8221bbe6,products\08360a32-3bf4-4aa7-8b8f-977e8221bbe6\1.jpeg
Construction,Building Materials,River Sand,river sand,"Bagged Pure River Sand, 52 Afs",SSN Construction Materials,"₹ 2,100",,Hyderabad,,,https://5.imimg.com/data5/SELLER/Default/2022/3/CR/LC/GB/149340957/river-sand3-250x250.jpg,https://www.indiamart.com/proddetail/pure-river-sand-25299472730.html,"Bagged Pure River Sand, 52 Afs",397301e3-54e9-4ba4-9263-98f5ff15cbb4,products\397301e3-54e9-4ba4-9263-98f5ff15cbb4\1.jpg
Construction,Building Materials,River Sand,river sand,Fine Construction River Sand,Bhagwati Enterprises,"₹ 2,000",,Kalyan,,,https://5.imimg.com/data5/SELLER/Default/2025/1/482461142/IN/RR/IN/66595521/fine-sand-crushed-250x250.png,https://www.indiamart.com/proddetail/fine-construction-river-sand-19539629488.html,Fine Construction River Sand,e60c1720-888a-49e0-ab37-97667cf82814,products\e60c1720-888a-49e0-ab37-97667cf82814\1.png
Construction,Building Materials,River Sand,river sand,Construction River Sand,Vansh Construction And Suppliers,₹ 65,,Indore,,,https://5.imimg.com/data5/SELLER/Default/2024/10/460769517/TX/UK/HQ/217123173/brown-construction-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/construction-river-sand-2855169093130.html,Construction River Sand,36c3cf2e-7f3a-4ce1-b05c-08b5b1783a35,products\36c3cf2e-7f3a-4ce1-b05c-08b5b1783a35\1.jpg
Construction,Building Materials,River Sand,river sand,"Pale Yellow Construction River Sand, B Grade",Khodiyar Suppliers,₹ 900,,Surat,,,https://5.imimg.com/data5/SELLER/Default/2023/9/347233011/PD/SN/KQ/122788828/white-sand-250x250.jpg,https://www.indiamart.com/proddetail/pale-yellow-construction-river-sand-2850119574073.html,"Pale Yellow Construction River Sand, B Grade",a62e02c6-c364-42d8-ba9f-594ad44e18da,products\a62e02c6-c364-42d8-ba9f-594ad44e18da\1.jpg
Construction,Building Materials,River Sand,river sand,Brown River Sand,AP Enterprises,"₹ 1,315",,Lucknow,,,https://5.imimg.com/data5/SELLER/Default/2022/1/DM/MG/UF/138006909/rever-sand-250x250.png,https://www.indiamart.com/proddetail/brown-river-sand-23927704948.html,GST Email Mobile Member: 4 yrs,f4642b35-0e10-4cd8-8a34-c189afe6d8cc,products\f4642b35-0e10-4cd8-8a34-c189afe6d8cc\1.png
Construction,Building Materials,River Sand,river sand,Construction River Sand rough,Varaahi Enterprises,₹ 65,,Chennai,,,https://5.imimg.com/data5/SELLER/Default/2025/5/511124391/CU/HF/QQ/243390085/construction-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/construction-river-sand-rough-2856491619930.html,Construction River Sand rough,8835ded5-360e-4378-bd61-f3a17547c23f,products\8835ded5-360e-4378-bd61-f3a17547c23f\1.jpg
Construction,Building Materials,River Sand,river sand,"Narmada Bagged Natural River Construction Sand, For Concreting",Uttam Enterprise,"₹ 6,700",,Mumbai,,,https://5.imimg.com/data5/SELLER/Default/2025/8/537664209/DN/NF/BY/3738008/natural-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/natural-river-construction-sand-22304477330.html,"Narmada Bagged Natural River Construction Sand, For Concreting",106befb9-b10b-4a28-8c9a-e269ea1c9e24,products\106befb9-b10b-4a28-8c9a-e269ea1c9e24\1.jpg
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months,774881dd-58f4-43af-b7a4-b95dc078822e,products\774881dd-58f4-43af-b7a4-b95dc078822e\1.jpg
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand,adb58834-28b8-4447-beae-afc01a8b5e71,products\adb58834-28b8-4447-beae-afc01a8b5e71\1.jpg
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade",b6f0c261-a289-47ae-956f-46b665b4ce62,products\b6f0c261-a289-47ae-956f-46b665b4ce62\1.jpeg
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs,af970d36-4c83-4910-a4fe-eec0f9908a92,products\af970d36-4c83-4910-a4fe-eec0f9908a92\1.png
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting",f4f89e99-463a-42f6-b7c0-1e5c730bd43d,products\f4f89e99-463a-42f6-b7c0-1e5c730bd43d\1.jpg
Construction,Building Materials,River Sand,river sand,"Narmada Loose Natural River Sand, Plastering",Kisan Petroleum,Ask Price,,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2026/1/576819881/AO/UN/LM/21804536/river-sand-250x250.jpg,https://www.indiamart.com/proddetail/loose-natural-river-sand-2858594075997.html,"Narmada Loose Natural River Sand, Plastering",f3d0821f-2f8a-42ca-988e-47bca44dc726,products\f3d0821f-2f8a-42ca-988e-47bca44dc726\1.jpg
Construction,Building Materials,River Sand,river sand,River Sand For Construction,Shreeji Suppliers,₹ 750,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/7/527096997/XZ/VN/FK/46402544/river-sand-for-construction-250x250.jpeg,https://www.indiamart.com/proddetail/river-sand-for-construction-2855069915088.html,River Sand For Construction,86504757-25a2-49e0-99ed-2583c5c600f7,products\86504757-25a2-49e0-99ed-2583c5c600f7\1.jpeg
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months,451e7638-0e34-4736-b4ed-545a2011ef92,products\451e7638-0e34-4736-b4ed-545a2011ef92\1.jpg
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand,eef2607b-33e5-461f-911d-1c2fb993e5fd,products\eef2607b-33e5-461f-911d-1c2fb993e5fd\1.jpg
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade",e361e724-de3a-4bc4-8fe0-7302bb666df0,products\e361e724-de3a-4bc4-8fe0-7302bb666df0\1.jpeg
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs,05c1b227-5957-4200-879e-eed3079ba9e4,products\05c1b227-5957-4200-879e-eed3079ba9e4\1.png
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting",a4b9c64a-71e7-4adf-86d7-1db7092cc5c1,products\a4b9c64a-71e7-4adf-86d7-1db7092cc5c1\1.jpg
Construction,Building Materials,River Sand,river sand,"Narmada Loose Natural River Sand, Plastering",Kisan Petroleum,Ask Price,,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2026/1/576819881/AO/UN/LM/21804536/river-sand-250x250.jpg,https://www.indiamart.com/proddetail/loose-natural-river-sand-2858594075997.html,"Narmada Loose Natural River Sand, Plastering",841cd9d3-4654-4e58-90d7-695741f25878,products\841cd9d3-4654-4e58-90d7-695741f25878\1.jpg
Construction,Building Materials,River Sand,river sand,River Sand For Construction,Shreeji Suppliers,₹ 750,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/7/527096997/XZ/VN/FK/46402544/river-sand-for-construction-250x250.jpeg,https://www.indiamart.com/proddetail/river-sand-for-construction-2855069915088.html,River Sand For Construction,652e5d52-188f-47b4-8bff-66511f381e11,products\652e5d52-188f-47b4-8bff-66511f381e11\1.jpeg
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months,b2f924b8-b3cd-4a37-849c-85c03ec374a0,products\b2f924b8-b3cd-4a37-849c-85c03ec374a0\1.jpg
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand,29451324-4e79-4fac-883f-5490931aae85,products\29451324-4e79-4fac-883f-5490931aae85\1.jpg
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade",a085f20d-e780-4263-951d-ccb1c8e61f24,products\a085f20d-e780-4263-951d-ccb1c8e61f24\1.jpeg
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs,a05068ed-c18c-408d-aca0-94ce0c86d5bd,products\a05068ed-c18c-408d-aca0-94ce0c86d5bd\1.png
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting",00dc762b-0a4c-4e3f-bf3a-c18b9be07afb,products\00dc762b-0a4c-4e3f-bf3a-c18b9be07afb\1.jpg
Construction,Building Materials,River Sand,river sand,"Narmada Loose Natural River Sand, Plastering",Kisan Petroleum,Ask Price,,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2026/1/576819881/AO/UN/LM/21804536/river-sand-250x250.jpg,https://www.indiamart.com/proddetail/loose-natural-river-sand-2858594075997.html,"Narmada Loose Natural River Sand, Plastering",d7330f8f-d04b-4619-8e89-ccb4f1b1d0c2,products\d7330f8f-d04b-4619-8e89-ccb4f1b1d0c2\1.jpg
Construction,Building Materials,River Sand,river sand,River Sand For Construction,Shreeji Suppliers,₹ 750,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/7/527096997/XZ/VN/FK/46402544/river-sand-for-construction-250x250.jpeg,https://www.indiamart.com/proddetail/river-sand-for-construction-2855069915088.html,River Sand For Construction,69f64536-e04a-463c-b93e-0b536e46880e,products\69f64536-e04a-463c-b93e-0b536e46880e\1.jpeg
Construction,Building Materials,River Sand,river sand,Brown River Sand,Clay Casa,₹ 450,,Chotila,,,https://5.imimg.com/data5/SELLER/Default/2025/6/520604170/TK/AH/NU/247925877/brown-river-sand-250x250.jpg,https://www.indiamart.com/proddetail/brown-river-sand-2856770450033.html,GST Email Mobile Member: 11 months,88e11a33-21f7-4dcf-8e58-4c669b78def7,products\88e11a33-21f7-4dcf-8e58-4c669b78def7\1.jpg
Construction,Building Materials,River Sand,river sand,Grey Construction River Sand,Bhagvati Bricks Suppliers,₹ 800,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2023/5/308201311/IC/LH/EA/130535107/red-bricks-250x250.jpg,https://www.indiamart.com/proddetail/grey-construction-river-sand-2850133653033.html,Grey Construction River Sand,b832839e-6cf1-42d7-8447-91e179a3300c,products\b832839e-6cf1-42d7-8447-91e179a3300c\1.jpg
Construction,Building Materials,River Sand,river sand,"Grey River Sand Powder, For Construction, Grade: A Grade",Aai Shree Khodiyar Enterprise,₹ 900,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2022/6/OM/FG/YO/78908381/medium-river-sand-250x250.jpeg,https://www.indiamart.com/proddetail/grey-river-sand-powder-25880056030.html,"Grey River Sand Powder, For Construction, Grade: A Grade",a06b69bb-4829-49bd-a10c-befc5f9ea978,products\a06b69bb-4829-49bd-a10c-befc5f9ea978\1.jpeg
Construction,Building Materials,River Sand,river sand,River Sand,Urbanwave Enterprise,"₹ 20,000",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/2/487158850/OQ/YJ/FG/134643113/screenshot-6065-250x250.png,https://www.indiamart.com/proddetail/river-sand-2855752231591.html,GST Email Mobile Member: 4 yrs,d418b1cd-3499-4a10-b783-7815f414a452,products\d418b1cd-3499-4a10-b783-7815f414a452\1.png
Construction,Building Materials,River Sand,river sand,"Narmada Loose River Sand Reti, Concreting",Nilkanth Enterprise,₹ 800,,Rajkot,,,https://5.imimg.com/data5/ANDROID/Default/2026/3/594118803/WZ/KY/HC/146538415/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/river-sand-reti-2859001063091.html,"Narmada Loose River Sand Reti, Concreting",85e9f787-5c8e-40fe-bbed-b7505dc1350a,products\85e9f787-5c8e-40fe-bbed-b7505dc1350a\1.jpg
Construction,Building Materials,River Sand,river sand,"Narmada Loose Natural River Sand, Plastering",Kisan Petroleum,Ask Price,,Bhavnagar,,,https://5.imimg.com/data5/SELLER/Default/2026/1/576819881/AO/UN/LM/21804536/river-sand-250x250.jpg,https://www.indiamart.com/proddetail/loose-natural-river-sand-2858594075997.html,"Narmada Loose Natural River Sand, Plastering",3eb54ffe-6c0a-4a26-b74a-3090ff10cf79,products\3eb54ffe-6c0a-4a26-b74a-3090ff10cf79\1.jpg
Construction,Building Materials,River Sand,river sand,River Sand For Construction,Shreeji Suppliers,₹ 750,,Ahmedabad - Deals in Amreli,,,https://5.imimg.com/data5/SELLER/Default/2025/7/527096997/XZ/VN/FK/46402544/river-sand-for-construction-250x250.jpeg,https://www.indiamart.com/proddetail/river-sand-for-construction-2855069915088.html,River Sand For Construction,f281bacb-3988-4612-8c18-02c219edd846,products\f281bacb-3988-4612-8c18-02c219edd846\1.jpeg
Construction,Building Materials,Aac Blocks,AAC blocks,"Grey AAC Block, 24x8x6 in",Fine Building Products LLP,₹ 83,/Piece,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/1/483997386/EC/LT/GK/193020746/aac-block-250x250.jpg,https://www.indiamart.com/proddetail/grey-aac-block-2855687108297.html,"Grey AAC Block, 24x8x6 in",b17cf365-4e4c-47b3-809c-8b86b37473dd,products\b17cf365-4e4c-47b3-809c-8b86b37473dd\1.jpg
Construction,Building Materials,Aac Blocks,AAC blocks,Silvercon AAC Block,Sanatan Enterprise,"₹ 3,136",,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2026/5/605097726/DP/KT/BO/254247027/aac-block-250x250.jpeg,https://www.indiamart.com/proddetail/silvercon-aac-block-2859172445291.html,GST Email Mobile Member: 7 months,f2277674-ce62-4e8a-a701-2d5c0f39c2c6,products\f2277674-ce62-4e8a-a701-2d5c0f39c2c6\1.jpeg
Construction,Building Materials,Aac Blocks,AAC blocks,"GreenStone Aac Broken Blocks, 5 x 3 x 2 Inch",Hem Care Corporation,"₹ 2,500",,Rajkot,,,https://5.imimg.com/data5/FC/SC/MY-4452558/blocks-wast-250x250.jpg,https://www.indiamart.com/proddetail/aac-broken-blocks-17889869733.html,"GreenStone Aac Broken Blocks, 5 x 3 x 2 Inch",c823ed41-f72d-4739-89fb-d7decb706401,products\c823ed41-f72d-4739-89fb-d7decb706401\1.jpg
Construction,Building Materials,Aac Blocks,AAC blocks,Ace Eco Block,Polymer Ecobuild LLP,Ask Price,,Kotda Sangani,,,https://5.imimg.com/data5/SELLER/Default/2025/11/562365232/EM/CE/KA/89277176/1000197493-250x250.jpg,https://www.indiamart.com/proddetail/ace-eco-block-2857992629662.html,GST Email Mobile Member: 6 yrs,8aaeec60-923c-40d3-83b5-5f94d409bbd2,products\8aaeec60-923c-40d3-83b5-5f94d409bbd2\1.jpg
Construction,Building Materials,Aac Blocks,AAC blocks,"AAC Block, 600x200x100mm (4"")",Amafh Trading Company,₹ 75,/Piece,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2026/1/579119050/BQ/AY/XT/10857125/lightweight-solid-aac-block-250x250.webp,https://www.indiamart.com/proddetail/aac-block-2858666613488.html,"AAC Block, 600x200x100mm (4"")",d7fd26f5-0570-4fac-8224-ba6c5c2077f5,products\d7fd26f5-0570-4fac-8224-ba6c5c2077f5\1.webp
Construction,Building Materials,Aac Blocks,AAC blocks,"Rectangular Magic Blox AAC Block, 600 mm x 200 mm x 100 mm",Magicrete Building Solutions Private Limited,"₹ 4,500",,Surat - Deals in Amreli,,,https://5.imimg.com/data5/CF/ST/MY-2511554/magicblox-aac-block-250x250.jpg,https://www.indiamart.com/proddetail/magic-blox-aac-block-14710768797.html,"Rectangular Magic Blox AAC Block, 600 mm x 200 mm x 100 mm",8fc53279-d928-40eb-8c46-cd399c8ad82e,products\8fc53279-d928-40eb-8c46-cd399c8ad82e\1.jpg
Construction,Building Materials,Aac Blocks,AAC blocks,"AAC Block Cement, 600mm x 200mm x 50 mm",Noori Enterprise,₹ 90,/Piece,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2024/6/426763216/MC/JU/TM/22761338/whatsapp-image-2024-06-13-at-11-16-13-am-250x250.jpeg,https://www.indiamart.com/proddetail/aac-block-cement-2854259747888.html,"AAC Block Cement, 600mm x 200mm x 50 mm",5cfa6ff0-e748-407d-8f5a-52a62ee1947b,products\5cfa6ff0-e748-407d-8f5a-52a62ee1947b\1.jpeg
Construction,Building Materials,Aac Blocks,AAC blocks,Lightweight Solid AAC Block (600x200x225mm) - Grade-1,Midland Tradelink Company,Ask Price,,Rajkot,,,https://5.imimg.com/data5/SELLER/Default/2025/12/570319763/VN/AL/WR/241520050/aac-block-250x250.jpeg,https://www.indiamart.com/proddetail/lightweight-solid-aac-block-2858164615088.html,Lightweight Solid AAC Block (600x200x225mm) - Grade-1,febff070-0a33-4bae-b5f4-268d0570a83e,products\febff070-0a33-4bae-b5f4-268d0570a83e\1.jpeg
Construction,Building Materials,Aac Blocks,AAC blocks,"Kingston AAC Block, 24x8x8 in",Maruti Steel,"₹ 3,400",,Junagadh,,,https://5.imimg.com/data5/SELLER/Default/2025/2/491992848/YU/SK/GD/42953476/kingston-aac-block-250x250.jpg,https://www.indiamart.com/proddetail/kingston-aac-block-2855849227997.html,"Kingston AAC Block, 24x8x8 in",47c441f5-e30f-46e1-b514-b8ec443c6dee,products\47c441f5-e30f-46e1-b514-b8ec443c6dee\1.jpg
